X,Y,SAMPLE_1
480106.550,621191.155,121
480116.550,621191.155,123
480126.550,621191.155,123
480136.550,621191.155,123
480146.550,621191.155,123
480156.550,621191.155,123
480166.550,621191.155,123
480176.550,621191.155,123
480186.550,621191.155,123
480196.550,621191.155,123
480206.550,621191.155,107
480216.550,621191.155,107
480226.550,621191.155,107
480236.550,621191.155,107
480246.550,621191.155,107
480256.550,621191.155,107
480266.550,621191.155,107
480276.550,621191.155,107
480286.550,621191.155,107
480296.550,621191.155,107
480306.550,621191.155,107
480316.550,621191.155,107
480326.550,621191.155,107
480336.550,621191.155,107
480346.550,621191.155,107
480356.550,621191.155,107
480366.550,621191.155,107
480376.550,621191.155,107
480386.550,621191.155,107
480396.550,621191.155,117
480406.550,621191.155,117
480416.550,621191.155,117
480426.550,621191.155,117
480436.550,621191.155,117
480446.550,621191.155,117
480456.550,621191.155,117
480466.550,621191.155,117
480476.550,621191.155,117
480486.550,621191.155,117
480496.550,621191.155,117
480506.550,621191.155,117
480516.550,621191.155,117
480526.550,621191.155,117
480536.550,621191.155,117
480546.550,621191.155,117
480556.550,621191.155,117
480566.550,621191.155,117
480576.550,621191.155,119
480586.550,621191.155,119
480596.550,621191.155,119
480606.550,621191.155,119
480616.550,621191.155,119
480626.550,621191.155,119
480636.550,621191.155,119
480646.550,621191.155,119
480656.550,621191.155,119
480666.550,621191.155,120
480676.550,621191.155,120
480686.550,621191.155,120
480696.550,621191.155,120
480706.550,621191.155,120
480716.550,621191.155,120
480726.550,621191.155,120
480736.550,621191.155,120
480746.550,621191.155,120
480756.550,621191.155,120
480766.550,621191.155,104
480776.550,621191.155,104
480786.550,621191.155,104
480796.550,621191.155,104
480806.550,621191.155,104
480816.550,621191.155,104
480826.550,621191.155,104
480836.550,621191.155,104
480846.550,621191.155,104
480856.550,621191.155,103
480866.550,621191.155,103
480876.550,621191.155,103
480886.550,621191.155,103
480896.550,621191.155,103
480906.550,621191.155,103
480916.550,621191.155,103
480926.550,621191.155,103
480936.550,621191.155,103
480946.550,621191.155,104
480956.550,621191.155,104
480966.550,621191.155,104
480976.550,621191.155,104
480986.550,621191.155,104
480996.550,621191.155,104
481006.550,621191.155,104
481016.550,621191.155,104
481026.550,621191.155,104
481036.550,621191.155,86
481046.550,621191.155,86
481056.550,621191.155,86
481066.550,621191.155,86
481076.550,621191.155,86
481086.550,621191.155,86
481096.550,621191.155,86
481106.550,621191.155,86
481116.550,621191.155,86
481126.550,621191.155,86
481136.550,621191.155,86
481146.550,621191.155,86
481156.550,621191.155,86
481166.550,621191.155,86
481176.550,621191.155,86
481186.550,621191.155,86
481196.550,621191.155,86
481206.550,621191.155,86
481216.550,621191.155,86
481226.550,621191.155,86
481236.550,621191.155,86
481246.550,621191.155,86
481256.550,621191.155,86
481266.550,621191.155,86
481276.550,621191.155,86
481286.550,621191.155,86
481296.550,621191.155,86
481306.550,621191.155,86
481316.550,621191.155,86
481326.550,621191.155,86
481336.550,621191.155,86
481346.550,621191.155,86
481356.550,621191.155,86
481366.550,621191.155,86
481376.550,621191.155,86
481386.550,621191.155,86
481396.550,621191.155,86
481406.550,621191.155,86
481416.550,621191.155,86
481426.550,621191.155,86
481436.550,621191.155,86
481446.550,621191.155,86
481456.550,621191.155,86
481466.550,621191.155,86
481476.550,621191.155,86
481486.550,621191.155,86
481496.550,621191.155,86
481506.550,621191.155,86
481516.550,621191.155,86
481526.550,621191.155,86
481536.550,621191.155,86
481546.550,621191.155,86
481556.550,621191.155,86
481566.550,621191.155,86
481576.550,621191.155,86
481586.550,621191.155,86
481596.550,621191.155,99
481606.550,621191.155,99
481616.550,621191.155,99
481626.550,621191.155,99
481636.550,621191.155,99
481646.550,621191.155,99
481656.550,621191.155,99
481666.550,621191.155,99
481676.550,621191.155,99
481686.550,621191.155,98
481696.550,621191.155,98
481706.550,621191.155,98
481716.550,621191.155,98
481726.550,621191.155,98
481736.550,621191.155,98
481746.550,621191.155,98
481756.550,621191.155,98
481766.550,621191.155,98
481776.550,621191.155,105
481786.550,621191.155,105
481796.550,621191.155,105
481806.550,621191.155,105
481816.550,621191.155,105
481826.550,621191.155,105
481836.550,621191.155,105
481846.550,621191.155,105
481856.550,621191.155,105
